Entity_Orth,Entity_Label,Parts_of_Speech
Lewis,PERSON,NNP
Lambert,PERSON,NNP
"Gerald "" ' "" ""
mcKenzie",PERSON,NNP `` '' '' '' SP NN
Edwin,PERSON,NNP
Manulito,PERSON,NNP
"James "" "" W",PERSON,NNP '' `` NNP SP
McDonald,ORG,NNP
"William "" - "" ""
Nahtz",PERSON,NNP '' : '' '' SP NNP
Frank,PERSON,NNP
Page,WORK_OF_ART,SP NN
Dana,PERSON,NNP
Patrick,PERSON,NNP
"Amos W "" """,PERSON,NNP NNP '' ''
Patrick,PERSON,NNP
"Clyde "" "" ""
Partick",PERSON,NNP `` '' '' SP NNP
Joe,PERSON,NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Male s,WORK_OF_ART,SP NN NN
Mentally,NORP,RB
Indians,NORP,NNPS
Indians,NORP,NNPS
San Juan,GPE,NNP NNP
June 80,DATE,NNP CD
Indians,NORP,NNPS
Indians,NORP,NNPS
Weber,PERSON,NNP
Stallions,PERSON,NNS
Indians,NORP,NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,JJ
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,JJ
Totallof Nos,PERSON,NNP NNP
Nos,PERSON,NNP
Mentally,NORP,RB
Indians,NORP,NNPS
Indian School,ORG,JJ NNP
Authorityfor Organization,ORG,NNP NNP
Nonreservation,GPE,NNP
fiscal year,DATE,JJ NN
Navajo,NORP,NNP
Juan,NORP,NNP
"Harrison """,PERSON,NNP ``
Taylor,PERSON,NNP
Ford,ORG,NNP
"George "" u """,PERSON,NNP `` NN ''
Taswood,ORG,NNP
"Andrew V "" u",PERSON,NNP NNP '' NN
"Edward "" n",PERSON,NNP `` CC
John,PERSON,NNP
"Harry "" n """,PERSON,NNP `` CC ''
Yanseh,GPE,NNP
Carl,PERSON,NNP
Yanseh,PERSON,NNP
Otto,PERSON,NNP
Wazzio,PERSON,NNP
"Henry "" u",PERSON,NNP `` PRP
Clark,PERSON,NNP
Sandavol,PERSON,NNP
Kbnepah,PERSON,NNP
San Juan,GPE,NNP NNP
Reservation,LAW,NNP SP
Indians,NORP,NNPS
Indians,NORP,NNPS
Quantity,PERSON,NNP
San Juan,GPE,NNP NNP
110015 Location,WORK_OF_ART,CD NN
Indian,NORP,JJ
Makethis,ORG,NNP
Indians,NORP,NNPS
U. S.,PERSON,NNP NNP SP
Indian,NORP,JJ
Indian,NORP,JJ
San Juan Indian,GPE,NNP NNP NNP
Indians,NORP,NNPS
B. M. '-______-_,PERSON,NNP NNP '' :
12009,DATE,CD
Juan Indian School,ORG,NNP NNP NNP
Reservationr,PERSON,NNP
The Camp School Unit of,ORG,DT NNP NNP NNP IN
the Mesa School,ORG,DT NNP NNP
late June 1925,DATE,JJ NNP CD
San Juan,GPE,NNP NNP
the summer,DATE,DT NN
Walker,PERSON,NNP
Elliott,PERSON,NNP
Elliott,PERSON,NNP
Sundays,DATE,NNPS
Shiprock,ORG,NNP
San Juan,GPE,NNP NNP
District Farmers,ORG,NNP NNP
Stockman,PERSON,NNP
Lilcewise,PERSON,NNP
Toadlena forty miles,QUANTITY,NNP CD NNS
Shiprock,GPE,NNP
Navajo,NORP,NNP
the year,DATE,DT NN
Yabaitsi,ORG,NNP
the winter months,DATE,DT NN NNS
500,MONEY,CD
the year,DATE,DT NN
3 Acreage.-,MONEY,CD NN
_§23—4—9—!990'00,MONEY,CD
E§Q_____ Indian School,ORG,NNP JJ NNP
Indian,NORP,JJ
Miles,PERSON,NNP
00511 ____________________,MONEY,CD NFP
$.___.Q_..'_ $,MONEY,$ CD CD
--.Q.—..-—--,MONEY,CD
0061,DATE,CD
Miles,PERSON,NNP
__1.QQ_-,MONEY,CD
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Indian,NORP,JJ
San Juan,GPE,NNP NNP
Toadlena,GPE,NNP
200,QUANTITY,CD
Missionary,PERSON,NNP
Indian,NORP,JJ
the past year,DATE,DT JJ NN
Indians,NORP,NNPS
Toadlena,GPE,NNP
Indian,NORP,JJ
Shiprock,GPE,NNP
Indian,NORP,JJ
"last
year",DATE,RB SP NN
Sherman,PERSON,NNP
last fall,DATE,JJ NN
the summer months,DATE,DT NN NNS
Colorado,GPE,NNP
Indian,NORP,JJ
WhiCh,GPE,NNP
Farmington,GPE,NNP
Farmington,GPE,NNP
Indians,NORP,NNPS
San Juan,GPE,NNP NNP
San Juan,GPE,NNP NNP
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Navajos,NORP,NNP
Navajos,NORP,NNPS
the Indian Court,ORG,DT NNP NNP
the last day,DATE,DT JJ NN
two days,DATE,CD NNS
"third
day",DATE,JJ SP NN
the past year,DATE,DT JJ NN
the Roman Catholics,ORG,DT JJ NNPS
Waterflow,GPE,NNP
H. M.,PERSON,NNP NNP
Indians,NORP,NNPS
Shiprock,GPE,NNP
the year,DATE,DT NN
Toadlena,GPE,NNP
Farmington,GPE,NNP
the Toadlena District,LOC,DT NNP NNP
Brink,PERSON,NNP
Toadlena,FAC,NNP SP
the Rev. J. C. Kobes,ORG,DT NNP NNP NNP NNP
The Presbyterian Mission,ORG,DT NNP NNP
Shiprock,ORG,NNP
San Juan Indian,GPE,NNP NNP NNP
June 30,DATE,NNP CD
Indians,NORP,NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
5 acres,QUANTITY,CD NNS
1936,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
This past year,DATE,DT JJ NN
year,DATE,NN
San Juan,GPE,NNP NNP
Mesa Schools,ORG,NNP NNP
Last year,DATE,JJ NN
500 bushels,MONEY,CD NNS
the Toadlena School,ORG,DT NNP NNP
This year,DATE,DT NN
the Toadlena School,ORG,DT NNP NNP SP
San Juan School,ORG,NNP NNP NNP
"about'4,000 pounds",QUANTITY,JJ NNS
This year,DATE,DT NN
the Department of Agricul-,ORG,DT NNP IN NNP
Shiprock,GPE,NNP
Shiprock,GPE,NNP
San Juan Agency,GPE,NNP NNP NNP
101101!-,MONEY,CD
the past two years,DATE,DT JJ CD NNS
the winter 1924-25,DATE,DT NN CD SYM CD
Ioadlena,NORP,NNP
Shiprock,GPE,NNP
Iar,PERSON,NNP
Indians,NORP,NNPS
the year,DATE,DT NN
early winter,DATE,JJ NN
Iield,GPE,NNP
Iocito,GPE,NNP
San Juan,GPE,NNP NNP
Iumps,ORG,NNP
the year 1924-25,DATE,DT NN CD SYM CD
this year,DATE,DT NN
the past two years,DATE,DT JJ CD NNS
Diphtheria,GPE,NNP
San Juan,GPE,NNP NNP
March of this year,DATE,NNP IN DT NN
Diphtheria,LOC,NNP
February,DATE,NNP
$74 1:1}?Yffifi,MONEY,$ CD CD
Section VII .-—Irrigetion,ORG,NN NN NN
Meridian,ORG,NNP
June 30,DATE,NNP CD
Indians,NORP,NNPS
Indians,NORP,NNPS
June 30,DATE,NNP CD
June 30,DATE,NNP CD
Indians,NORP,NNPS
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
a few years,DATE,DT JJ NNS
14 or 16 years,DATE,CD CC CD NNS
Colerado,GPE,NNP
New Mexican,GPE,NNP NNP
three to five dollars,DATE,CD IN CD NNS
English,LANGUAGE,NNP
three year's,DATE,CD NN POS
Navajo,NORP,NNP
the first year,DATE,DT JJ NN
June 30th 1924,DATE,NNP NN CD
Navajo,NORP,NNP
Indian School,ORG,NNP NNP
June 30,DATE,NNP CD
current fiscal year,DATE,JJ JJ NN
Amount,PERSON,NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
San Juan Agency,GPE,NNP NNP NNP
Eleanor D. Gregg,PERSON,NNP NNP NNP
Field Nurses,ORG,NNP NNPS
Field Matrons,PERSON,NNP NNPS
Toadlena,ORG,NNP
the year,DATE,DT NN
Gregg,PERSON,NNP
the Toadlena School,ORG,DT NNP NNP
Program,ORG,NNP
Indian School,ORG,JJ NNP
$ 100 $,MONEY,$ CD HYPH SP
"51,059",MONEY,CD
1926,DATE,CD
San Juan,GPE,NNP NNP
Navajo,NORP,NNP
San Juan,GPE,NNP NNP
the year,DATE,DT NN
Mesa,ORG,NNP
San Juan,GPE,NNP NNP
San Juan,GPE,NNP NNP
March,DATE,NNP
Missionaries,ORG,NNS
Indians,NORP,NNPS
Indians,NORP,NNPS
this season,DATE,DT NN
San Juan Agency,ORG,NNP NNP NNP
the Primary Division,ORG,DT NNP NNP
this year,DATE,DT NN
each year,DATE,DT NN
1929,DATE,CD
Indians,NORP,NNPS
the pest year,DATE,DT NN NN
Theodore,PERSON,NNP
Roosevelt,PERSON,NNP
"Theodore

Roosevelt",PERSON,NNP SP NNP
Theodore Roosevelt,PERSON,NNP NNP
San Juan,GPE,NNP NNP
the TOadlens School,ORG,DT NNP NNP
this year,DATE,DT NN
The Course of Study require—,ORG,DT NNP IN NNP NNP SP
1926,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Toilets,PERSON,NNS
Wednesday,DATE,NNP
monthly,DATE,JJ
1926,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
1924,DATE,CD
Hogan,PERSON,NNP
I'-,PERSON,NNP
Emmanuel,PERSON,NNP
Santa Fe,GPE,NNP NNP
ML. July 2'7,PERSON,NNP NNP NNP
Indian Employment,LOC,NNP NNP
Agency,ORG,NNP
the fiscal year 1910,DATE,DT JJ NN CD
2295.62,MONEY,CD
2478.41-,MONEY,CD
Pueblo,ORG,NNP
three days,DATE,CD NNS
Indian,NORP,JJ
Indian,NORP,JJ
Indian,NORP,JJ
Indian,NORP,JJ
Agency,ORG,NNP
Indian,NORP,JJ
San Juan Agency,ORG,NNP NNP NNP
Navajo,ORG,NNP
Havajos,PERSON,NNP
"75,000.00",MONEY,CD
Farmington,GPE,NNP
20 inch,QUANTITY,CD NN
four inch,QUANTITY,CD NN
L A,GPE,NNP NNP
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
1926,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
last year,DATE,JJ NN
the summer,DATE,DT NN
San Juan,GPE,NNP NNP
Toadlena,GPE,NNP
February,DATE,NNP
March,DATE,NNP
this past season,DATE,DT JJ NN
"some 50,000 feet",QUANTITY,DT CD NNS
early winter,DATE,JJ NN
Indians,NORP,NNPS
twenty dollars,MONEY,CD NNS
for~some years,DATE,CD NNS
Indians,NORP,NNPS
Indians,NORP,NNPS
this year,DATE,DT NN
Colo.and,GPE,NNP
Cortez,GPE,NNP
Shiprockuto,GPE,NNP
Gallup,ORG,NNP
Shiprock,GPE,NNP
20 miles,QUANTITY,CD NNS
San Juan,GPE,NNP NNP
San Juan,GPE,NNP NNP
"50,000 feet",QUANTITY,CD NNS
Toadlena,FAC,NNP
"20,000 feet",QUANTITY,CD NNS
Shiprock,GPE,NNP
"60,000 feet",QUANTITY,CD NNS
San Juan,GPE,NNP NNP
Navajo,NORP,NNP
Santa Fe,ORG,NNP NNP
"July 27, 1910",DATE,"NNP CD , CD"
Santa Fe,ORG,NNP NNP
7 degrees'below zero,DATE,CD JJ CD
Tao's,ORG,NNP POS
Picuris,GPE,NNP
Santa Fe,ORG,NNP NNP
San Juan,GPE,NNP NNP
Nembe,GPE,NNP
San Ildefonso,GPE,NNP NNP
Tesuque,GPE,NNP
Santo Domingo,PERSON,NNP NNP
Juan Indian School,ORG,NNP NNP NNP
Indian,NORP,JJ
9119,DATE,CD
Indian,NORP,NNP
the current fiscal,DATE,DT JJ JJ
Indian,NORP,JJ
Indian,NORP,JJ
Han,NORP,NNP
Indian School,ORG,NNP NNP
Indians,NORP,NNPS
Indians,PERSON,SP NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
July 27,DATE,NNP CD
Indian,NORP,JJ
Pueblos,ORG,NNP
Indians,NORP,NNPS
Jemez,GPE,NNP
Cochiti,ORG,NNP
Indians,NORP,NNPS
500,MONEY,CD
Indians,NORP,NNPS
1950,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Navajo,NORP,NNP
the past three years,DATE,DT JJ CD NNS
early winter,DATE,JJ NN
Navajos,ORG,NNPS
to—day,DATE,NN
Rambouillet,PERSON,NNP
"58
pounds",QUANTITY,CD SP NNS
68 pounds,QUANTITY,CD NNS
this spring,DATE,DT NN
Hereford,GPE,NNP
Indians,NORP,NNPS
Havajos,PERSON,NNP
STATISTICAL,ORG,NNP
San Juan ',GPE,NNP NNP POS
Indian School,ORG,JJ NNP
June Emma-1:149:11,PERSON,NNP NNP
fiscal year,DATE,JJ NN
United States,GPE,NNP NNP
0 $ 0,MONEY,CD $ CD
Juan Indian School,ORG,NNP NNP NNP
June 30,DATE,NNP CD
"fiscal

year",DATE,JJ SP NN
Allottetl,NORP,NNP
___________,MONEY,NFP
Unallotteé,PERSON,NNP
r-74r-500'OO,MONEY,CD
Miles,PERSON,NNP
Indian School,ORG,JJ NNP
"T'——""""""—'——g

Damage",WORK_OF_ART,XX SP NN
July 27,DATE,NNP CD
Indians,NORP,NNPS
Indiana,GPE,NNP
Maw-gm,PERSON,NNP HYPH NNP
(Board,ORG,SP -LRB- NNP
-flQQQeflQ,MONEY,CD
one year,DATE,CD NN
the current fiscal year,DATE,DT JJ JJ NN
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,JJ
Indians,NORP,NNPS
Indians,NORP,NNPS
Federal juris—,ORG,NNP NNP
June 30,DATE,NNP CD
fiscal year,DATE,JJ NN
Indians,NORP,NNPS
Indians,NORP,NNPS
San Juan Agency,GPE,NNP NNP NNP
Indian,NORP,JJ
Indians,NORP,NNPS
Indian,NORP,JJ
Medicine,GPE,NNP
the East Farm,GPE,DT NNP NNP
Laguna,GPE,NNP
the Toadlena School,ORG,DT NNP NNP
James D. Kennedy,PERSON,NNP NNP NNP
Wigglesworth,PERSON,NNP
Wigglesworth,PERSON,NNP
The San Juan Hospital,ORG,DT NNP NNP NNP
San Juan,GPE,NNP NNP
Indian School,ORG,JJ NNP
Indians,NORP,NNPS
____Q,MONEY,CD
_;Q__..f,MONEY,CD
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
The San Juan,ORG,DT NNP NNP
Navajo,NORP,NNP
New Mexico,GPE,NNP NNP
Utah,GPE,NNP
approximately loo miles,QUANTITY,RB FW NNS
150 miles,QUANTITY,CD NNS
approximately 80 miles,QUANTITY,RB CD NNS
80 miles,QUANTITY,CD NNS
Indians,NORP,NNPS
Shiprock,GPE,NNP
"N. M.,",PERSON,"NNP NNP ,"
San Juan,GPE,NNP NNP
Camp,ORG,NNP
Juan Hospital,PERSON,NNP NNP
30st Office,ORG,NN NN
100 miles,QUANTITY,CD NNS
Gallup,GPE,NNP
N. M.,PERSON,NNP NNP
Federal Aid Highway,ORG,NNP NNP NNP
52 miles,QUANTITY,CD NNS
Farmington,GPE,NNP
N. M. from,PERSON,NNP NNP IN
State Highway,ORG,SP NNP NNP
Gallup,ORG,NNP
S. F. Ry..,PERSON,NNP NNP NNP NFP
Farmington,GPE,NNP
Shiprock,ORG,NNP
Farmington,GPE,NNP
Bell,PERSON,NNP
Sunday,DATE,NNP
Shiprock,GPE,NNP
the Old Hospital,ORG,DT NNP NNP
1212,DATE,CD
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
W00,MONEY,CD
soiooo.oo,MONEY,CD
___..______,MONEY,-RRB-
205,MONEY,CD
552000.00,MONEY,CD
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
1925,DATE,CD
March,DATE,NNP
a few days,DATE,DT JJ NNS
daily,DATE,JJ
only a few years,DATE,RB DT JJ NNS
1925,DATE,CD
the same year,DATE,DT JJ NN
1925,DATE,CD
the winter months,DATE,DT NN NNS
Iiogback,NORP,NNP
Juan Indian School,ORG,NNP NNP NNP
San Juan Reservation,GPE,NNP NNP NNP
18 years,DATE,CD NNS
Indians,NORP,NNPS
Indians,NORP,NNPS
San Juan Agency,GPE,NNP NNP NNP
the Shiprock Schools,ORG,DT NNP NNP
San Juan'River,GPE,NNP NNP
Indians,NORP,NNPS
the Health Program,ORG,DT NNP NNP
Toadlena,GPE,NNP
San Juan,GPE,NNP NNP
Navajos,NORP,NNP
Government,ORG,NNP
Missionaries,ORG,NNPS
Dan,PERSON,NNP
Indian,NORP,JJ
the year,DATE,DT NN
past year,DATE,JJ NN
Indian,NORP,NNP
"the current fiscal
year ending June 30",DATE,DT JJ JJ SP NN VBG NNP CD
Indian,NORP,JJ
Indian,NORP,JJ
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
H. J. Hagerman,PERSON,NNP NNP NNP
Toadlena,GPE,NNP
April,PERSON,NNP
this year,DATE,DT NN
about $1000,MONEY,IN $ CD
the Toadlena School,ORG,DT NNP NNP
Indian,NORP,JJ
Fort Defiance,FAC,NNP NNP
Phoenix,GPE,NNP
A. M. Wiggles-,PERSON,NNP NNP NNP
Toadlena,GPE,NNP
July,DATE,NNP
August,DATE,NNP
September,DATE,NNP
Red Rocks,ORG,NNP NNPS
Aneth,PERSON,NNP
September,DATE,NNP
1924,DATE,CD
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
"Home
Training",ORG,NNP SP NNP
Domestic Science,ORG,SP JJ NN
four days,DATE,CD NNS
eighteen years old,DATE,CD NNS JJ
Physician,NORP,NNP
J1eed Matron,PERSON,NNP NNP
last summer,DATE,JJ NN
Indian,NORP,JJ
Whites Indians,NORP,NNPS NNPS
U. S.,PERSON,NNP NNP SP
Indian,NORP,JJ
Indian,NORP,JJ
San Juan Agency,GPE,NNP NNP NNP
WATRI.,ORG,NNP
weeks,DATE,NNS
Indians,NORP,NNPS
1924,DATE,CD
1925,DATE,CD
H. F. Robinson,PERSON,SP NNP NNP NNP
annually,DATE,RB
San Juan,GPE,NNP NNP
Robinson,PERSON,NNP
Indians,NORP,NNPS
Hogan,PERSON,NNP
Hogan,PERSON,NNP
San Juan Agency,ORG,NNP NNP NNP
year or two,DATE,NN CC CD
Navajo,NORP,JJ
1400 feet,QUANTITY,CD NNS
about 700 feet,QUANTITY,RB CD NNS
"27,000.00",MONEY,CD
Rattlesanke,PRODUCT,NNP
eight miles,QUANTITY,CD NNS
Shiprock,GPE,NNP
Shiprock,ORG,NNP
1924,DATE,CD
1925,DATE,CD
San Juan,GPE,NNP NNP
San Juan,GPE,NNP NNP
1925,DATE,CD
Shiprock,FAC,NNP
"this
year's",DATE,DT SP NN POS
last year,DATE,JJ NN
Last fall,DATE,JJ VB
this fall,DATE,DT NN
Toadlena School,ORG,NNP NNP
"last
year",DATE,JJ SP NN
this past spring,DATE,DT JJ NN
Indians,NORP,NNPS
Four thousand pounds,QUANTITY,CD CD NNS
Indians,NORP,NNPS
1925,DATE,CD
Agent,ORG,NNP
Indians,NORP,NNPS
early spring months,DATE,JJ NN NNS
Indians,NORP,NNPS
San Juan Agency,GPE,NNP NNP NNP
"W. H.
Hashbarger",PERSON,NNP NNP SP NNP
the Toadlena School,ORG,DT NNP NNP SP
the past six years,DATE,DT JJ CD NNS
Navajo,NORP,JJ
Indian,NORP,JJ
Super-,ORG,NNP
Field Nurses,ORG,NNP NNPS
H- J. Hagerman,PERSON,NNP NNP NNP
Tribe,PERSON,NNP
late April,DATE,JJ NNP
Toadlena,ORG,NNP
the United States,GPE,DT NNP NNP
100-,MONEY,CD
.1 _________,MONEY,CD $
ZLsQQDLOO,MONEY,CD
686.52,MONEY,CD SP
Santa Fe School,ORG,NNP NNP NNP
San Juan Agency,ORG,NNP NNP NNP
five year old,DATE,CD NN JJ
an occasional quarter,DATE,DT JJ NN
the World War,EVENT,DT NNP NNP
the past few months,DATE,DT JJ JJ NNS
The year,DATE,DT NN
Juan School,ORG,NNP NNP
years,DATE,NNS
this year,DATE,DT NN
Last fall,DATE,JJ NN
years,DATE,NNS
This year,DATE,DT NN
last year,DATE,JJ NN
the past 10 or 12 years,DATE,DT NN CD CC CD NNS
1-1/2,DATE,CD SYM CD
Pueblos,LOC,NNP
Pueblos,ORG,NNP
Mexican,NORP,JJ
Indian,NORP,JJ
Indian,NORP,JJ
Indians,NORP,NNPS
Indian,NORP,JJ
Pueblos,ORG,NNP
Ilhich,GPE,NNP
Pueblo,ORG,NNP
Pueblo,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
Rambouillet,ORG,NNP
58 pounds,QUANTITY,CD NNS
many years,DATE,JJ NNS
few thousand,MONEY,SP JJ CD
1925,DATE,CD
"the Bureau of
Animal Industry",ORG,DT NNP IN SP NNP NNP
Black Leaf,LOC,NNP NNP
Last fall,DATE,JJ NN
early summer,DATE,JJ NN
"H. E.
Pine",PERSON,NNP NNP SP NNP
B. h. I.,ORG,NNP NNP NN
Albuquerque,GPE,NNP
B. A.,GPE,NNP NNP
this year,DATE,DT NN
OLEAN,ORG,NNP
Sophus Jensen,PERSON,NNP NNP
Agency Stockman,PERSON,NNP NNP
Sgn 1301a,DATE,NNP CD
Indians,NORP,NNPS
4+§Q44QQQ-00,MONEY,CD
410133,MONEY,CD
11.3ggjgogmo,MONEY,CD
1926,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
the summer months,DATE,DT NN NNS
twelve months of the year,DATE,CD NNS IN DT NN
12 million gallons,QUANTITY,CD CD NNS
Hogback,PRODUCT,NNP
winter months,DATE,SP NN NNS
about July first 1925,DATE,IN NNP JJ CD
September 18th,DATE,NNP NN
December'first,ORG,NNP
SURFACE,ORG,NNP
the spring of 1926,DATE,DT NN IN CD
Indian,NORP,JJ
Item-lo,WORK_OF_ART,NNP HYPH NNP
7732.50,MONEY,CD
H. Burke School,ORG,NNP NNP NNP
this year,DATE,DT NN
Phoenix,GPE,NNP
daily,DATE,JJ
English,LANGUAGE,NNP
English,LANGUAGE,NNP
Tuesday,DATE,NNP
Indian,NORP,NNP
Southern Ute,PERSON,NNP NNP
Mission Schools :,WORK_OF_ART,SP NNP NNPS :
Totél,PERSON,NNP
Annuel Report,PERSON,NNP NNP
San Juen Agency,ORG,NNP NNP NNP
December,DATE,NNP
the early summer,DATE,DT JJ NN
1925,DATE,CD
4:50 A.,MONEY,CD NNP
three quarters,DATE,CD NNS
San Juen,GPE,NNP NNP
the winter 1925-26,DATE,DT NN CD SYM CD
the worst year,DATE,DT JJS NN
1925,DATE,CD
September 18th,DATE,NNP NN
Hogback,GPE,NNP
December,DATE,NNP
January,DATE,NNP
October,DATE,NNP
Bevember,PERSON,NNP
December first,DATE,NNP RB
winter,DATE,NN
C. J. Crandall,PERSON,NNP NNP NNP
Santa Fe Indian School,ORG,NNP NNP NNP NNP
Santa Fe,GPE,NNP NNP
New Mexico,GPE,NNP NNP
"the past fiscal

year",DATE,DT JJ JJ SP NN
three years ago,DATE,CD NNS RB
Wigglesworth,PERSON,NNP
Kennedy,PERSON,NNP
"this
year",DATE,DT SP NN
this year,DATE,DT NN
this year,DATE,DT NN
Indians,NORP,NNPS
County,GPE,NNP
Indians,NORP,NNPS
the Intertribal Indian Ceremonial,ORG,DT NNP NNP NNP
San Juan Agency,ORG,NNP NNP NNP
Shiprock,GPE,NNP
Tocito,GPE,NNP
N. M.,PERSON,NNP NNP
29 miles,QUANTITY,CD NNS
Shiprock,GPE,NNP
Ford,ORG,NNP
Aneth,ORG,NNP
year,DATE,SP NN
Stockman,PERSON,NNP
Jensen,PERSON,NNP
the past three years,DATE,DT JJ CD NNS
Jensen,PERSON,NNP
Indians,NORP,NNPS
the Bureau,ORG,DT NNP
Navajos,NORP,NNPS
San Juan Navajo,GPE,NNP NNP NNP
the spring,DATE,DT NN
July,DATE,NNP
July,DATE,NNP
3 9',DATE,CD CD ''
San Juan Agemcy,GPE,NNP NNP NNP
Gallup,FAC,NNP
San Juan Agency,ORG,NNP NNP NNP
Public Domain,ORG,NNP NNP
San Juan,GPE,NNP NNP
Mesa,ORG,NNP
Mesa,ORG,NNP
the same day,DATE,DT JJ NN
Missouri,GPE,NNP
this spring,DATE,DT NN
Norway,GPE,NNP
about 50 acres,QUANTITY,RB CD NNS
Last year,DATE,JJ NN
Toadlena Schools,PERSON,NNP NNP
This year,DATE,DT NN
Shipreck,GPE,NNP
Ship-,ORG,NNP
this year,DATE,DT NN
next year,DATE,JJ NN
last year,DATE,JJ NN
1926,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Mission,ORG,NNP
Individual Indian Moneys,ORG,NNP JJ NNP
Indians,NORP,NNPS
San Juan Agency,GPE,NNP NNP NNP
Navajo,NORP,NNP
J~ndians,NORP,NNPS
the Oil Companies,ORG,DT NNP NNS
Indians,NORP,NNPS
Shiprock,GPE,NNP
Havajos,ORG,NNP
Indians,NORP,NNPS
Mesa Verde,ORG,NNP NNP
Last year,DATE,JJ NN
2.00,MONEY,CD
a week,DATE,DT NN
A few years ago,DATE,DT JJ NNS RB
Farmington,GPE,NNP
"150,000 pounds",QUANTITY,CD NNS
four inch,QUANTITY,CD NN
"14,000 pounds",QUANTITY,CD NNS
San Juan Agency,GPE,NNP NNP NNP
H. E. Pine,PERSON,NNP NNP NNP
the year,DATE,DT NN
Bistai,GPE,NNP
the Agency Stockman,ORG,DT NNP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Bistai,PERSON,NNP
1925—26,FAC,NNP
March,DATE,NNP
April,DATE,NNP
several weeks,DATE,JJ NNS
seVerel years,DATE,NN NNS
Holsteins,PERSON,NNP
the year,DATE,DT NN
Mesa,ORG,NNP
the year,DATE,DT NN
Holstein,PERSON,NNP
Indian School,ORG,NNP NNP
1924,DATE,CD
Holstein,PERSON,NNP
Colorado Springs,GPE,NNP NNP
Santa re,GPE,NNP NNP
"July 27, 1919",DATE,"NNP CD , CD"
Indian,NORP,JJ
New Mexico,GPE,NNP NNP
Indian,NORP,JJ
New Mexico,GPE,NNP NNP
Indian,NORP,JJ
Day,ORG,NN
Indian,NORP,JJ
Juan,PERSON,NNP SP
DEA,ORG,NNP
1930,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Holstein,PERSON,NNP
Jicarilla Indian School,ORG,NNP NNP NNP
Dulce,GPE,NNP
N. H.,PERSON,NNP NNP
Holstein,PERSON,NNP
Toggenburg,GPE,NNP
the Toedlena School,ORG,DT NNP NNP
1925,DATE,CD
Last fall,DATE,JJ VB
Wisconsin,GPE,NNP
Ship~,ORG,NNP
this past year,DATE,DT JJ NN
1925,DATE,CD
"400,000 pounds",QUANTITY,CD NNS
season,DATE,NN
"50,000.00",MONEY,CD
Indians,NORP,NNPS
the Oil Companies,ORG,DT NNP NNS
Shiprock,GPE,NNP
"over $75,000.00",MONEY,IN $ CD
Navajo for,ORG,NNP IN
"500,000.00",MONEY,CD
District Farmers,ORG,NNP NNP
Stockmsn,NORP,NNP
Farmers,ORG,NNP
Aneth,GPE,NNP
130191va,MONEY,JJ
Winemingthg,GPE,NNP
Indians,NORP,NNPS
Indian,NORP,JJ
Pueblos,ORG,NNP
Pueblos,NORP,NNP
Pueblos,NORP,NNPS
Indians,NORP,NNPS
